epoch ,time      ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  572.362 ,       2.69924 ,       4.75661 ,       1.78564 ,             0.00069 ,          0.05974 ,         0.01775 ,            0.00661 ,     2.09784 ,     4.6489  ,     1.40402 ,0.000170595 ,0.000170595 ,0.000170595
    2 , 1098.96  ,       1.85501 ,       3.53551 ,       1.28951 ,             0.40926 ,          0.09793 ,         0.06695 ,            0.03687 ,     1.64402 ,     3.43749 ,     1.29959 ,0.000339079 ,0.000339079 ,0.000339079
    3 , 1665.85  ,       1.72642 ,       2.84607 ,       1.21428 ,             0.28698 ,          0.27371 ,         0.17276 ,            0.09714 ,     1.55194 ,     2.84507 ,     1.24961 ,0.000500619 ,0.000500619 ,0.000500619
    4 , 2098.51  ,       1.60293 ,       2.4667  ,       1.18029 ,             0.43044 ,          0.26176 ,         0.24992 ,            0.1463  ,     1.51995 ,     2.58322 ,     1.21352 ,0.000494756 ,0.000494756 ,0.000494756
    5 , 2522.74  ,       1.54868 ,       2.26125 ,       1.15413 ,             0.43119 ,          0.28727 ,         0.28117 ,            0.16442 ,     1.51956 ,     2.41174 ,     1.18449 ,0.000484341 ,0.000484341 ,0.000484341
    6 , 2941.46  ,       1.52132 ,       2.1435  ,       1.14455 ,             0.57824 ,          0.30854 ,         0.32776 ,            0.19766 ,     1.50071 ,     2.38473 ,     1.18614 ,0.000473926 ,0.000473926 ,0.000473926
    7 , 3382.38  ,       1.49724 ,       2.04204 ,       1.12173 ,             0.61929 ,          0.35336 ,         0.3702  ,            0.22753 ,     1.3533  ,     2.12576 ,     1.1031  ,0.000463511 ,0.000463511 ,0.000463511
    8 , 3813.7   ,       1.41505 ,       1.93932 ,       1.10413 ,             0.52688 ,          0.39699 ,         0.38859 ,            0.2401  ,     1.37498 ,     2.09803 ,     1.11095 ,0.000453096 ,0.000453096 ,0.000453096
    9 , 4231.28  ,       1.39823 ,       1.86936 ,       1.08182 ,             0.64814 ,          0.37114 ,         0.41973 ,            0.25621 ,     1.37871 ,     2.19762 ,     1.10643 ,0.000442682 ,0.000442682 ,0.000442682
   10 , 4653.23  ,       1.38895 ,       1.83825 ,       1.08775 ,             0.60213 ,          0.43861 ,         0.45502 ,            0.27699 ,     1.34609 ,     1.89964 ,     1.0875  ,0.000432267 ,0.000432267 ,0.000432267
   11 , 5073     ,       1.37615 ,       1.79971 ,       1.0778  ,             0.52728 ,          0.41589 ,         0.44902 ,            0.28327 ,     1.30199 ,     1.90504 ,     1.08321 ,0.000421852 ,0.000421852 ,0.000421852
   12 , 5493.75  ,       1.35852 ,       1.70905 ,       1.06714 ,             0.49183 ,          0.46158 ,         0.448   ,            0.27893 ,     1.31432 ,     1.87813 ,     1.07973 ,0.000411437 ,0.000411437 ,0.000411437
   13 , 5910.12  ,       1.36281 ,       1.67996 ,       1.066   ,             0.52816 ,          0.50268 ,         0.51907 ,            0.32212 ,     1.2962  ,     1.78911 ,     1.07848 ,0.000401022 ,0.000401022 ,0.000401022
   14 , 6332.21  ,       1.329   ,       1.64431 ,       1.06134 ,             0.47469 ,          0.48886 ,         0.50486 ,            0.31297 ,     1.28511 ,     1.86146 ,     1.06827 ,0.000390608 ,0.000390608 ,0.000390608
   15 , 6748.55  ,       1.32382 ,       1.61584 ,       1.05894 ,             0.54795 ,          0.5339  ,         0.53486 ,            0.33458 ,     1.23539 ,     1.71764 ,     1.04263 ,0.000380193 ,0.000380193 ,0.000380193
   16 , 7169.01  ,       1.31216 ,       1.58876 ,       1.06626 ,             0.61005 ,          0.4948  ,         0.52144 ,            0.31924 ,     1.25871 ,     1.73125 ,     1.05052 ,0.000369778 ,0.000369778 ,0.000369778
   17 , 7591.75  ,       1.27597 ,       1.55016 ,       1.03192 ,             0.62941 ,          0.50992 ,         0.55089 ,            0.35201 ,     1.24256 ,     1.627   ,     1.05501 ,0.000359363 ,0.000359363 ,0.000359363
   18 , 8026.19  ,       1.28121 ,       1.52475 ,       1.03646 ,             0.59171 ,          0.52322 ,         0.54041 ,            0.34093 ,     1.25633 ,     1.62736 ,     1.05341 ,0.000348948 ,0.000348948 ,0.000348948
