epoch ,time       ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,   572.736 ,       2.51363 ,       4.68827 ,       1.63859 ,             0.00163 ,          0.06722 ,         0.03222 ,            0.01453 ,     1.88986 ,     4.55938 ,     1.28027 ,0.000170719 ,0.000170719 ,0.000170719
    2 ,  1080.2   ,       1.86358 ,       3.45079 ,       1.23664 ,             0.46326 ,          0.09443 ,         0.08111 ,            0.04418 ,     1.65646 ,     3.29279 ,     1.17035 ,0.000343769 ,0.000343769 ,0.000343769
    3 ,  1589.27  ,       1.68749 ,       2.73196 ,       1.16169 ,             0.38484 ,          0.13159 ,         0.1381  ,            0.06891 ,     1.6756  ,     3.11984 ,     1.16619 ,0.000514504 ,0.000514504 ,0.000514504
    4 ,  2103.62  ,       1.60691 ,       2.39688 ,       1.13579 ,             0.3955  ,          0.27233 ,         0.25934 ,            0.14278 ,     1.58676 ,     2.58499 ,     1.1239  ,0.000515585 ,0.000515585 ,0.000515585
    5 ,  2622.85  ,       1.51145 ,       2.13569 ,       1.10022 ,             0.36182 ,          0.33441 ,         0.27686 ,            0.15468 ,     1.55218 ,     2.33703 ,     1.11188 ,0.000512114 ,0.000512114 ,0.000512114
    6 ,  3148.97  ,       1.47466 ,       2.00667 ,       1.08519 ,             0.61129 ,          0.32262 ,         0.34378 ,            0.2073  ,     1.42133 ,     2.25494 ,     1.05588 ,0.000508642 ,0.000508642 ,0.000508642
    7 ,  3663.02  ,       1.47264 ,       1.95779 ,       1.08303 ,             0.51144 ,          0.37715 ,         0.3609  ,            0.21574 ,     1.45379 ,     2.06978 ,     1.04801 ,0.00050517  ,0.00050517  ,0.00050517
    8 ,  4175.46  ,       1.44107 ,       1.88419 ,       1.06695 ,             0.61154 ,          0.3514  ,         0.38272 ,            0.23631 ,     1.40874 ,     1.97918 ,     1.0817  ,0.000501699 ,0.000501699 ,0.000501699
    9 ,  4673.5   ,       1.38766 ,       1.79836 ,       1.05958 ,             0.44347 ,          0.46    ,         0.41767 ,            0.26066 ,     1.34092 ,     1.88224 ,     1.02897 ,0.000498227 ,0.000498227 ,0.000498227
   10 ,  5177.66  ,       1.39883 ,       1.735   ,       1.05515 ,             0.50766 ,          0.4196  ,         0.41861 ,            0.24331 ,     1.36562 ,     1.9813  ,     1.02426 ,0.000494756 ,0.000494756 ,0.000494756
   11 ,  5704.34  ,       1.38258 ,       1.73097 ,       1.06043 ,             0.63896 ,          0.42712 ,         0.45726 ,            0.28176 ,     1.34305 ,     1.8394  ,     1.01755 ,0.000491284 ,0.000491284 ,0.000491284
   12 ,  6217.17  ,       1.35783 ,       1.67142 ,       1.03362 ,             0.52331 ,          0.4674  ,         0.46901 ,            0.28651 ,     1.31389 ,     1.79016 ,     1.02101 ,0.000487812 ,0.000487812 ,0.000487812
   13 ,  6739.07  ,       1.32617 ,       1.60452 ,       1.02542 ,             0.61773 ,          0.4558  ,         0.50634 ,            0.29507 ,     1.30992 ,     1.70152 ,     1.0076  ,0.000484341 ,0.000484341 ,0.000484341
   14 ,  7280.44  ,       1.30974 ,       1.56667 ,       1.0209  ,             0.57979 ,          0.47198 ,         0.50984 ,            0.31286 ,     1.27197 ,     1.74239 ,     0.99547 ,0.000480869 ,0.000480869 ,0.000480869
